Test_Scenario_ID,TC_ID,Index,Name,EventType,MAC,VlanValid,VlanID,FrameRef,Interface,Address,Value,expectedPort,expectedAbsent,Timeout,���
1,1,0,FDB Initialize,FdbInitialize,-,-,-,-,,-,-,-,-,-,Forwarding ����_Dynamic
1,1,1,MAC_Learning_Enable,RegWrite,-,-,-,-,,0x44A00A0C,0x00000003,-,-,-,
1,1,2,Packet _Send,Packet,-,-,-,Packet_0,Port 0,-,-,-,-,-,
1,1,3,Packet _Send,Packet,-,-,-,Packet_5,Port 1,-,-,-,-,-,
1,1,4,Packet _Send,Packet,-,-,-,Packet_10,Port 2,-,-,-,-,-,
1,1,5,Packet _Send,Packet,-,-,-,Packet_15,Port 3,-,-,-,-,-,
1,1,6,Packet _Send,Packet,-,-,-,Packet_20,Port 4,-,-,-,-,-,
1,1,7,Packet _Send,Packet,-,-,-,Packet_25,Port 5,-,-,-,-,-,
1,1,8,FDB_Learn_wait,Delay,-,-,-,-,,-,-,-,-,1000ms,
1,1,9,MAC_Learning_Disable,RegWrite,-,-,-,-,,0x44A00A0C,0x00000001,-,-,-,
1,1,10,FDB_Entry Read,FdbVerify,A0:36:9F:A8:DA:60,FALSE,-,-,,-,-,0b000001,FALSE,-,
1,1,11,FDB_Entry Read,FdbVerify,a0:36:9f:a8:da:61,FALSE,-,-,,-,-,0b000010,FALSE,-,
1,1,12,FDB_Entry Read,FdbVerify,a0:36:9f:a8:da:62,FALSE,-,-,,-,-,0b000100,FALSE,-,
1,1,13,FDB_Entry Read,FdbVerify,a0:36:9f:a8:da:63,FALSE,-,-,,-,-,0b001000,FALSE,-,
1,1,14,FDB_Entry Read,FdbVerify,6c:b3:11:1c:18:19,FALSE,-,-,,-,-,0b010000,FALSE,-,
1,1,15,FDB_Entry Read,FdbVerify,6c:b3:11:1c:18:18,FALSE,-,-,,-,-,0b100000,FALSE,-,
