Test_Scenario_ID,TC_ID,Index,Name,EventType,MAC,Port,,VlanValid,VlanID,FrameRef,Interface,Expected,Timeout,���
2,0,0,FDB_Initialize,FdbInitialize,-,-,,-,-,-,,-,,Forwarding ����_Static
2,0,1,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:60,0b000001,,-,-,-,,-,,
2,0,2,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:61,0b000010,,-,-,-,,-,,
2,0,3,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:62,0b000100,,-,-,-,,-,,
2,0,4,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:63,0b001000,,-,-,-,,-,,
2,0,5,MAC_FDB_Write,FdbWrite,6C:B3:11:1C:18:19,0b010000,,-,-,-,,-,,
2,0,6,MAC_FDB_Write,FdbWrite,6C:B3:11:1C:18:18,0b100000,,-,-,-,,-,,
2,0,7,Packet0 _Send,Packet,-,-,,FALSE,-,Packet_0,Port 0,-,,
2,0,8,RX_Result,RxVerify,-,-,,-,-,-,,0b000010,5000ms,
2,0,9,Packet1 _Send,Packet,-,-,,FALSE,-,Packet_1,Port 0,-,,
2,0,10,RX_Result,RxVerify,-,-,,-,-,-,,0b000100,5000ms,
2,0,11,Packet2 _Send,Packet,-,-,,FALSE,-,Packet_2,Port 0,-,,
2,0,12,RX_Result,RxVerify,-,-,,-,-,-,,0b001000,5000ms,
2,0,13,Packet3 _Send,Packet,-,-,,FALSE,-,Packet_3,Port 0,-,,
2,0,14,RX_Result,RxVerify,-,-,,-,-,-,,0b010000,5000ms,
2,0,15,Packet4 _Send,Packet,-,-,,FALSE,-,Packet_4,Port 0,-,,
2,0,16,RX_Result,RxVerify,-,-,,-,-,-,,0b100000,5000ms,
2,0,17,Packet5 _Send,Packet,-,-,,FALSE,-,Packet_5,Port 1,-,,
2,0,18,RX_Result,RxVerify,-,-,,-,-,-,,0b000001,5000ms,
2,0,19,Packet6 _Send,Packet,-,-,,FALSE,-,Packet_6,Port 1,-,,
2,0,20,RX_Result,RxVerify,-,-,,-,-,-,,0b000100,5000ms,
2,0,21,Packet7 _Send,Packet,-,-,,FALSE,-,Packet_7,Port 1,-,,
2,0,22,RX_Result,RxVerify,-,-,,-,-,-,,0b001000,5000ms,
2,0,23,Packet8 _Send,Packet,-,-,,FALSE,-,Packet_8,Port 1,-,,
2,0,24,RX_Result,RxVerify,-,-,,-,-,-,,0b010000,5000ms,
2,0,25,Packet9 _Send,Packet,-,-,,FALSE,-,Packet_9,Port 1,-,,
2,0,26,RX_Result,RxVerify,-,-,,-,-,-,,0b100000,5000ms,
2,0,27,Packet10 _Send,Packet,-,-,,FALSE,-,Packet_10,Port 2,-,,
2,0,28,RX_Result,RxVerify,-,-,,-,-,-,,0b000001,5000ms,
2,0,29,Packet11 _Send,Packet,-,-,,FALSE,-,Packet_11,Port 2,-,,
2,0,30,RX_Result,RxVerify,-,-,,-,-,-,,0b000010,5000ms,
2,0,31,Packet12 _Send,Packet,-,-,,FALSE,-,Packet_12,Port 2,-,,
2,0,32,RX_Result,RxVerify,-,-,,-,-,-,,0b001000,5000ms,
2,0,33,Packet13 _Send,Packet,-,-,,FALSE,-,Packet_13,Port 2,-,,
2,0,34,RX_Result,RxVerify,-,-,,-,-,-,,0b010000,5000ms,
2,0,35,Packet14 _Send,Packet,-,-,,FALSE,-,Packet_14,Port 2,-,,
2,0,36,RX_Result,RxVerify,-,-,,-,-,-,,0b100000,5000ms,
2,0,37,Packet15 _Send,Packet,-,-,,FALSE,-,Packet_15,Port 3,-,,
2,0,38,RX_Result,RxVerify,-,-,,-,-,-,,0b000001,5000ms,
2,0,39,Packet16 _Send,Packet,-,-,,FALSE,-,Packet_16,Port 3,-,,
2,0,40,RX_Result,RxVerify,-,-,,-,-,-,,0b000010,5000ms,
2,0,41,Packet17 _Send,Packet,-,-,,FALSE,-,Packet_17,Port 3,-,,
2,0,42,RX_Result,RxVerify,-,-,,-,-,-,,0b000100,5000ms,
2,0,43,Packet18 _Send,Packet,-,-,,FALSE,-,Packet_18,Port 3,-,,
2,0,44,RX_Result,RxVerify,-,-,,-,-,-,,0b010000,5000ms,
2,0,45,Packet19 _Send,Packet,-,-,,FALSE,-,Packet_19,Port 3,-,,
2,0,46,RX_Result,RxVerify,-,-,,-,-,-,,0b100000,5000ms,
2,0,47,Packet20 _Send,Packet,-,-,,FALSE,-,Packet_20,Port 4,-,,
2,0,48,RX_Result,RxVerify,-,-,,-,-,-,,0b000001,5000ms,
