FrameRef,Layer,Protocol,Field,Value
Packet_0,1,ETH,Destination MAC,A0:36:9F:A8:DA:61
Packet_0,1,ETH,Source MAC,A0:36:9F:A8:DA:60
Packet_0,1,ETH,EtherType,ARP
Packet_0,2,RAW,Data,0x01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101
Packet_1,1,ETH,Destination MAC,A0:36:9F:A8:DA:62
Packet_1,1,ETH,Source MAC,A0:36:9F:A8:DA:60
Packet_1,1,ETH,EtherType,ARP
Packet_1,2,RAW,Data,0x02020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202
Packet_2,1,ETH,Destination MAC,A0:36:9F:A8:DA:63
Packet_2,1,ETH,Source MAC,A0:36:9F:A8:DA:60
Packet_2,1,ETH,EtherType,ARP
Packet_2,2,RAW,Data,0x03030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303
Packet_3,1,ETH,Destination MAC,6C:B3:11:1C:18:19
Packet_3,1,ETH,Source MAC,A0:36:9F:A8:DA:60
Packet_3,1,ETH,EtherType,ARP
Packet_3,2,RAW,Data,0x04040404040404040404040404040404040404040404040404040404040404040404040404040404040404040404
Packet_4,1,ETH,Destination MAC,6C:B3:11:1C:18:18
Packet_4,1,ETH,Source MAC,A0:36:9F:A8:DA:60
Packet_4,1,ETH,EtherType,ARP
Packet_4,2,RAW,Data,0x05050505050505050505050505050505050505050505050505050505050505050505050505050505050505050505
Packet_5,1,ETH,Destination MAC,A0:36:9F:A8:DA:60
Packet_5,1,ETH,Source MAC,A0:36:9F:A8:DA:61
Packet_5,1,ETH,EtherType,ARP
Packet_5,2,RAW,Data,0x06060606060606060606060606060606060606060606060606060606060606060606060606060606060606060606
Packet_6,1,ETH,Destination MAC,A0:36:9F:A8:DA:62
Packet_6,1,ETH,Source MAC,A0:36:9F:A8:DA:61
Packet_6,1,ETH,EtherType,ARP
Packet_6,2,RAW,Data,0x07070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707
Packet_7,1,ETH,Destination MAC,A0:36:9F:A8:DA:63
Packet_7,1,ETH,Source MAC,A0:36:9F:A8:DA:61
Packet_7,1,ETH,EtherType,ARP
Packet_7,2,RAW,Data,0x08080808080808080808080808080808080808080808080808080808080808080808080808080808080808080808
Packet_8,1,ETH,Destination MAC,6C:B3:11:1C:18:19
Packet_8,1,ETH,Source MAC,A0:36:9F:A8:DA:61
Packet_8,1,ETH,EtherType,ARP
Packet_8,2,RAW,Data,0x09090909090909090909090909090909090909090909090909090909090909090909090909090909090909090909
Packet_9,1,ETH,Destination MAC,6C:B3:11:1C:18:18
Packet_9,1,ETH,Source MAC,A0:36:9F:A8:DA:61
Packet_9,1,ETH,EtherType,ARP
Packet_9,2,RAW,Data,0x10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010
